::1 - Mon Jun 02 2025 17:58:00 GMT+0800 (Philippine Standard Time) - GET / HTTP/1.1 500 35 - 7 - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36
::1 - Mon Jun 02 2025 17:58:01 GMT+0800 (Philippine Standard Time) - GET /favicon.ico HTTP/1.1 200 - - 18 - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36
::1 - Mon Jun 02 2025 17:58:58 GMT+0800 (Philippine Standard Time) - GET /department.js HTTP/1.1 404 35 - 1 - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36
::1 - Mon Jun 02 2025 17:59:09 GMT+0800 (Philippine Standard Time) - GET /index.js HTTP/1.1 404 35 - 1 - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36
::1 - Mon Jun 02 2025 18:22:35 GMT+0800 (Philippine Standard Time) - GET /index.js HTTP/1.1 404 35 - 1 - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36
::1 - Mon Jun 02 2025 18:28:45 GMT+0800 (Philippine Standard Time) - GET / HTTP/1.1 500 35 - 1 - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36
::1 - Mon Jun 02 2025 18:29:14 GMT+0800 (Philippine Standard Time) - GET /user.js HTTP/1.1 404 35 - 1 - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36
::1 - Mon Jun 02 2025 18:29:16 GMT+0800 (Philippine Standard Time) - GET /user.js HTTP/1.1 404 35 - 1 - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36
::1 - Mon Jun 02 2025 18:29:19 GMT+0800 (Philippine Standard Time) - GET /index.js HTTP/1.1 404 35 - 2 - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36
::1 - Mon Jun 02 2025 18:29:20 GMT+0800 (Philippine Standard Time) - GET /employees.js HTTP/1.1 404 35 - 1 - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36
::1 - Mon Jun 02 2025 18:29:21 GMT+0800 (Philippine Standard Time) - GET /department.js HTTP/1.1 404 35 - 1 - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36
::1 - Mon Jun 02 2025 18:29:22 GMT+0800 (Philippine Standard Time) - GET / HTTP/1.1 500 35 - 1 - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36
::1 - Mon Jun 02 2025 18:30:42 GMT+0800 (Philippine Standard Time) - GET /users.js HTTP/1.1 404 35 - 1 - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36
::ffff:127.0.0.1 - Mon Jun 02 2025 18:35:00 GMT+0800 (Philippine Standard Time) - GET /api/employees HTTP/1.1 200 - - 8 - Thunder Client (https://www.thunderclient.com)
::1 - Mon Jun 02 2025 18:35:10 GMT+0800 (Philippine Standard Time) - GET /api/department HTTP/1.1 404 37 - 1 - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36
::ffff:127.0.0.1 - Mon Jun 02 2025 18:35:15 GMT+0800 (Philippine Standard Time) - GET /api/department HTTP/1.1 404 37 - 1 - Thunder Client (https://www.thunderclient.com)
::ffff:127.0.0.1 - Mon Jun 02 2025 18:35:34 GMT+0800 (Philippine Standard Time) - GET /api/users HTTP/1.1 404 37 - 1 - Thunder Client (https://www.thunderclient.com)
::ffff:127.0.0.1 - Mon Jun 02 2025 18:35:41 GMT+0800 (Philippine Standard Time) - GET /api/employees HTTP/1.1 200 - - 2 - Thunder Client (https://www.thunderclient.com)
::1 - Mon Jun 02 2025 18:35:45 GMT+0800 (Philippine Standard Time) - GET /api/employees HTTP/1.1 200 - - 2 - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36
